Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2014-12-23,1025.966552734375,1034.0994184029648,1016.9572504864838,1019.1585932369932,1266476
2014-12-24,1010.964111328125,1027.6580019862472,1005.1549096854254,1025.2731320273251,3288972
2014-12-26,1021.196533203125,1023.2348496366641,1004.8900017348116,1013.450930755676,626206
2014-12-29,1028.493896484375,1034.221586850374,1022.0120885854359,1022.4197519634117,778920
2014-12-30,1031.408447265625,1036.4634318611022,1025.6807585771999,1029.3497279043838,701342
2014-12-31,1042.905029296875,1046.2274466300423,1029.3502194760517,1032.489208160695,1573792
2015-01-01,1037.727294921875,1046.4716524787195,1035.8724070698972,1046.4716524787195,366830
2015-01-02,1051.5472412109375,1056.2353698828786,1039.78621291112,1039.9492384453558,925740
2015-01-05,1035.566650390625,1059.8837253109066,1029.2070633910582,1052.1789291046957,1754242
2015-01-06,997.3890380859375,1031.021259273583,994.6984205800579,1031.021259273583,2423784
2015-01-07,985.6077880859375,1010.6586842582041,981.4292382112998,1006.9286039370895,2636332
2015-01-08,996.2476196289062,998.367448941313,986.7694476452862,995.6768312770281,1565408
2015-01-09,1024.1724853515625,1027.270666584746,998.7750429260103,1000.813359340145,3197642
2015-01-12,1023.1126708984375,1030.572929972584,1011.1070053657046,1026.088633204507,1596006
2015-01-13,1018.3021850585938,1031.5512431907277,1011.0458574571992,1027.3115843993166,1468432
2015-01-14,1028.106689453125,1032.1222137451323,1019.3623294478838,1025.6811121339235,1787096
2015-01-15,1035.0977783203125,1052.4845757933008,1028.6362761190844,1032.6109927314537,5009920
2015-01-16,1032.2642822265625,1037.502793904482,1012.7576587647231,1036.9728118646422,5293830
2015-01-19,1023.6430053710938,1039.9495446840542,1020.3816975085016,1033.834592441694,1135074
2015-01-20,1019.3419189453125,1031.3883922063637,1012.330128437333,1027.3117582450736,2058566
2015-01-21,1024.7838134765625,1028.126631946215,1014.3679983902337,1028.126631946215,2310480
2015-01-22,1024.6824951171875,1027.8214838088015,1017.3241498641008,1025.8850824015267,2113214
2015-01-23,1020.6258544921875,1032.223855208132,1017.5683798116835,1024.8655129049514,3150380
2015-01-27,1022.0355224609375,1027.3253087775581,1016.9295318606514,1026.242878660849,2738736
2015-01-28,1037.3739013671875,1039.5387615238042,1022.3826337154806,1022.4235215293838,3121980
2015-01-29,1039.4364013671875,1049.2603446073113,1026.467188701425,1036.7200549828522,3734392
2015-01-30,1013.8656005859375,1051.8337141273225,1008.9434073376648,1045.9924428764143,5817402
2015-02-02,1026.9981689453125,1029.959642523173,1005.6960230309652,1013.8451614137396,3181802
2015-02-03,1044.991943359375,1047.7491780384235,1024.0982715709113,1025.9567722030997,2345054
2015-02-04,1027.039306640625,1050.485973609367,1022.055880180266,1048.974620464408,2245418
2015-02-05,1042.602294921875,1058.6555478079608,1028.9591292087812,1029.367608418471,4530168
2015-02-06,1052.14013671875,1059.9216842208455,1041.9690461019445,1042.8472363556125,2136416
2015-02-09,1026.4674072265625,1049.424019511136,1021.1980651011899,1046.3195375026792,2076432
2015-02-10,997.1590576171875,1031.9206808589902,993.8299916991284,1025.2828932037864,3799054
2015-02-11,1004.8179931640625,1015.9899397191276,999.6507709227601,1002.8369287833261,2937522
2015-02-12,1005.7369384765625,1012.9466555908456,999.5485190034354,1012.9466555908456,3107980
2015-02-13,1037.02685546875,1040.7031692842966,1004.9612294109274,1008.9439027111029,4158326
2015-02-16,1055.837158203125,1060.0036265007427,1043.6644569207697,1045.7068531182663,2364392
2015-02-18,1076.6080322265625,1079.6103938707747,1047.8511399458966,1055.9390470643198,2660014
2015-02-19,1095.1533203125,1097.7063156416789,1076.3428307818338,1076.7513100345025,2618002
2015-02-20,1092.906494140625,1102.403635111656,1079.3041174497469,1102.403635111656,1801588
2015-02-23,1101.5252685546875,1111.8802549785532,1091.04781816595,1091.04781816595,1614892
2015-02-24,1104.8341064453125,1115.1482061542483,1094.31576713818,1100.4429550840823,2199922
2015-02-25,1091.5374755859375,1111.879748086193,1089.760651915414,1106.9780004825802,1767994
2015-02-26,1085.104248046875,1099.9320588137712,1072.4006083082256,1094.3154713813362,1991994
2015-02-27,1087.514404296875,1092.9879845100213,1068.7039212340924,1086.3297550356433,2877376
2015-03-02,1090.3941650390625,1106.5495348026311,1083.5113514377474,1094.6015200823979,2176038
2015-03-03,1133.9378662109375,1139.6565730290042,1093.151192335836,1095.540834718204,3424308
2015-03-04,1121.683837890625,1148.6843518105113,1109.286454780859,1138.8399635976193,3862994
2015-03-05,1101.443359375,1131.772930075191,1095.1528216388276,1123.3174333404047,2173514
2015-03-09,1081.162841796875,1094.6426563356022,1066.1307862447773,1078.3851630981655,2883174
2015-03-10,1079.48779296875,1094.0092462016025,1060.105477907107,1082.0203436671648,3037052
2015-03-11,1064.7213134765625,1086.534059481006,1061.1471210312234,1079.2018789241233,2240200
2015-03-12,1069.8272705078125,1072.2168135493027,1058.0018198038829,1071.808334424978,1827636
2015-03-13,1054.836181640625,1078.3645210399286,1051.833819972685,1077.5680066360942,1586838
2015-03-16,1046.64599609375,1066.1304288129952,1042.4386415060399,1056.000127398546,1556296
2015-03-17,1055.3873291015625,1064.7823474969168,1044.7873174225053,1054.8971741740281,1267318
2015-03-18,1045.4410400390625,1061.8209923571058,1042.3161150417359,1058.348919955417,1255170
2015-03-19,1060.51416015625,1064.4356005041886,1049.0155101639293,1052.242456066442,2448964
2015-03-20,1066.5181884765625,1069.3979852729233,1053.4060728626719,1060.4114475815543,1963908
2015-03-23,1069.0516357421875,1074.709114338023,1064.497131115503,1068.581924404511,1566608
2015-03-24,1058.4921875,1077.1596672873898,1054.734198746357,1074.3003128425617,2394878
2015-03-25,1051.3236083984375,1067.7649003801905,1039.6615043269715,1058.5332282216182,2224858
2015-03-26,1026.5484619140625,1056.612452001058,1021.6058268596062,1042.9692953233623,3091642
2015-03-27,1027.2430419921875,1050.5671338022032,1022.8723364976944,1033.8603820585186,2751776
2015-03-30,1047.4014892578125,1049.75024373497,1029.3671795541704,1031.4095747516985,1339006
2015-03-31,1043.2352294921875,1049.5666558577313,1029.775862421672,1049.5666558577313,2427028
2015-04-01,1038.619140625,1047.1768558776337,1030.286208505022,1044.8893334744162,2075758
2015-04-06,1040.5186767578125,1046.8908899351181,1021.2384860480503,1044.8893825330722,1568542
